,country,JavaScript,SQL,Java,C#,Python,PHP,C++,C,TypeScript,VBA,id,edu_index
0,United States,5699.0,4589.0,3191.0,3100.0,3348.0,1827.0,1837.0,1534.0,832.0,404.0,USA,0.9
1,United Kingdom,2214.0,1849.0,940.0,1386.0,1038.0,888.0,570.0,441.0,361.0,214.0,GBR,0.8959999999999999
2,Switzerland,256.0,232.0,214.0,180.0,156.0,136.0,123.0,88.0,54.0,39.0,CHE,0.8909999999999999
3,New Zealand,132.0,101.0,66.0,82.0,62.0,40.0,27.0,24.0,21.0,6.0,NZL,0.917
4,Poland,563.0,439.0,351.0,292.0,292.0,230.0,228.0,147.0,100.0,30.0,POL,0.852
5,Colombia,79.0,46.0,41.0,33.0,22.0,31.0,12.0,5.0,16.0,2.0,COL,0.63
6,France,807.0,631.0,496.0,310.0,437.0,439.0,342.0,343.0,129.0,54.0,FRA,0.8390000000000001
7,Canada,1104.0,872.0,613.0,647.0,620.0,424.0,407.0,308.0,176.0,96.0,CAN,0.89
8,Germany,1770.0,1450.0,1458.0,953.0,947.0,937.0,868.0,688.0,295.0,154.0,DEU,0.914
9,Greece,135.0,125.0,109.0,70.0,79.0,79.0,52.0,61.0,21.0,8.0,GRC,0.83
10,Brazil,361.0,267.0,240.0,173.0,164.0,161.0,111.0,123.0,41.0,20.0,BRA,0.6809999999999999
11,Israel,246.0,187.0,187.0,143.0,156.0,65.0,85.0,69.0,52.0,8.0,ISR,0.87
12,Italy,376.0,313.0,250.0,164.0,158.0,217.0,126.0,124.0,39.0,20.0,ITA,0.8140000000000001
13,Belgium,211.0,165.0,122.0,131.0,85.0,99.0,52.0,46.0,41.0,18.0,BEL,0.841
14,India,1580.0,1373.0,1378.0,658.0,735.0,885.0,694.0,817.0,158.0,69.0,IND,0.535
15,Chile,47.0,45.0,35.0,20.0,34.0,29.0,11.0,17.0,2.0,4.0,CHL,0.784
16,Croatia,82.0,60.0,50.0,48.0,40.0,37.0,28.0,21.0,10.0,4.0,HRV,0.7979999999999999
17,Argentina,121.0,91.0,61.0,51.0,39.0,54.0,24.0,19.0,12.0,4.0,ARG,0.8079999999999999
18,Netherlands,416.0,351.0,247.0,254.0,214.0,237.0,126.0,98.0,88.0,24.0,NLD,0.897
19,Denmark,147.0,119.0,70.0,114.0,62.0,58.0,38.0,30.0,36.0,11.0,DNK,0.9229999999999999
20,Ukraine,136.0,103.0,75.0,72.0,56.0,54.0,58.0,47.0,22.0,2.0,UKR,0.8029999999999999
21,Sri Lanka,73.0,64.0,67.0,37.0,29.0,44.0,25.0,19.0,6.0,2.0,LKA,0.752
22,Malaysia,92.0,68.0,69.0,44.0,27.0,52.0,33.0,27.0,8.0,4.0,MYS,0.7
23,Finland,156.0,101.0,81.0,75.0,92.0,64.0,44.0,38.0,18.0,3.0,FIN,0.847
24,Turkey,121.0,110.0,99.0,89.0,60.0,60.0,61.0,55.0,8.0,5.0,TUR,0.6679999999999999
25,Spain,390.0,308.0,285.0,141.0,197.0,194.0,112.0,104.0,52.0,23.0,ESP,0.818
26,Austria,224.0,207.0,184.0,139.0,83.0,115.0,96.0,87.0,47.0,21.0,AUT,0.82
27,Mexico,170.0,141.0,98.0,87.0,70.0,79.0,43.0,48.0,14.0,11.0,MEX,0.655
28,Russian Federation,313.0,263.0,184.0,171.0,204.0,134.0,149.0,102.0,56.0,20.0,RUS,0.816
29,Bulgaria,126.0,98.0,76.0,68.0,36.0,54.0,38.0,24.0,20.0,6.0,BGR,0.778
30,Uruguay,38.0,30.0,27.0,29.0,16.0,11.0,13.0,9.0,3.0,,URY,0.7170000000000001
31,Estonia,60.0,46.0,33.0,21.0,25.0,20.0,12.0,10.0,14.0,3.0,EST,0.877
32,Iran,167.0,150.0,135.0,147.0,96.0,114.0,116.0,72.0,26.0,6.0,IRN,0.704
33,Bangladesh,73.0,54.0,51.0,28.0,27.0,63.0,25.0,29.0,8.0,1.0,BGD,0.457
34,Sweden,279.0,216.0,169.0,187.0,158.0,83.0,102.0,100.0,47.0,16.0,SWE,0.855
35,Lithuania,83.0,61.0,33.0,54.0,36.0,47.0,27.0,13.0,10.0,4.0,LTU,0.882
36,Paraguay,13.0,11.0,5.0,3.0,4.0,10.0,2.0,3.0,1.0,,PRY,0.613
37,Romania,261.0,212.0,160.0,155.0,89.0,138.0,113.0,74.0,43.0,8.0,ROU,0.769
38,Costa Rica,33.0,28.0,26.0,18.0,19.0,13.0,9.0,8.0,9.0,,CRI,0.684
39,Serbia,92.0,82.0,75.0,53.0,29.0,51.0,28.0,21.0,17.0,2.0,SRB,0.76
40,Slovenia,165.0,138.0,118.0,72.0,91.0,99.0,49.0,52.0,32.0,7.0,SVN,0.8859999999999999
